Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
recQWxYjVWisx3Rb9,12,115713.51,107320,412890,13830
,12,994181.56,963726,364530,480
,11,2259486.17,2252176,1335392,29928.85
recC1maWraorRJ3xN,6,128252.04,125630,34800,110
recMb09zETwAYxkSO,6,1064821.27,1034436,21080,55380
recLiuVS3bsyApcKm,12,586749,580019,330805,7816
,12,5052574.38,3044077,2386680,11274
,12,94169,94269,38303,1300
recRwn5RBIyiGvDc4,12,499911.28,493580,103973,83889
reciMATipAR06KYwV,12,260209.16,204296,335214,3848
rec6AnBAjthLhJ5KO,12,383836,383836,21550,23325
recNvILzsSkukVqCG,12,367279.77,331255,225150,24670
,6,42353,42155,36295,4262
,12,137799.85,125543,53800,16000
recte1m1M9zPWyzM2,12,622750.81,542690,148419,200533.12
recRY0pmKCc69MgPH,12,38271145.81,37895675,4527050,187810
recOqmhqQtTfgbmR0,12,1443432.05,1181056,3430174,121396
recy1RgBVRCJ5mMng,12,348710.89,337226,175661,1900
,12,122050.48,120759,39170,8998
recZnsTrY0epDNLdo,6,157483,156921,51990,26660
,12,1275514.45,1110680,35579,67218
,12,43687.53,40070,40777,2919
receNK6ZT64fZt7oV,12,266822.96,269271,9300,784430
,12,309945.01,239425,115082,3918
,6,784519,784519,57945,25313
,12,504728.24,482292,229870,13220
,6,220566.38,217931,108900,140
,6,1340237.79,1171608,252700,216000
,12,201950.79,166577,4560,25685
recyp80PcosX3wpGN,12,352163.15,317081,1594440,24066
rec5Qz4gDeV59wtbQ,12,297331.44,267248,928588,15534
reciIUjyY4CKTHVac,12,295005,295005,42971,117365.88
,6,200982.14,142183,223510,10
,12,355604.26,287233,116657,58800
,6,190959,191013,14238,551
recICxYcBXJgQshRx,12,2004708,2003708,1768724,60
,12,1192455.15,1150248,2263395,12968
reckAdTbUpWfr5YrR,12,294500.43,292510,27095,6012
,12,104616.06,101711,30340,10
,6,22530.35,16754,300,40
,6,98348.65,74280,167830,0
,12,482708.6,471130,162040,132627
,12,565638.88,565106,13200,129705.77
recanB3tV9jMz4q1W,6,292839.71,279685,4177,100
recoMurVzWmI0lHVP,12,310317,309617,9300,15000
recfhuzkCq7IssJKf,12,568633.51,515612,317170,3875
,12,95630.87,95545,42300,1542
reciUBe7ZiM4F4wtP,6,209031.87,185969,66050,0
recosYqpdLYBSPs6U,6,185140,177440,100750,24030
,6,1480275.61,1042988,2002800,1000
rec78GvRSIC4msyn0,6,187477.22,163165,82172,14500
,12,242990.75,242321,66570,3510
recLBB4pc8qVh5DE9,12,565000.72,547114,109875,535
recNBWqlgY22TJFN3,12,179805.79,179388,351285,6420
recygelZsUZv6qies,12,973893.12,936257,126451,11700
recocDzouB5s3F6e0,12,1786357.56,1738278,77452,50
